id;date;details;status;payment_method;payment_date;payment_amount
1;2022-09-13T16:40:35;RAM systemic;PAID;CASH_ON_DELIVERY;2022-09-13T21:06:30;5801
2;2022-09-13T10:54:46;Idaho calculating model;ISSUED;CREDIT_CARD;2022-09-13T13:09:43;75071
3;2022-09-13T09:40:44;program SQL;CANCELLED;CREDIT_CARD;2022-09-13T08:20:08;79944
4;2022-09-13T20:34:51;Soft Central;PAID;CASH_ON_DELIVERY;2022-09-13T17:50:32;8068
5;2022-09-14T00:41:43;Bhutanese;CANCELLED;PAYPAL;2022-09-14T02:31:16;87472
6;2022-09-13T13:18:11;Engineer Shirt Court;CANCELLED;PAYPAL;2022-09-14T05:02:38;62834
7;2022-09-14T00:50:33;program transmitting parse;PAID;CREDIT_CARD;2022-09-13T15:50:51;38509
8;2022-09-13T15:32:09;Dynamic iterate;PAID;CREDIT_CARD;2022-09-13T11:48:57;6085
9;2022-09-13T08:25:52;black Maine;PAID;CREDIT_CARD;2022-09-13T11:07:57;11254
10;2022-09-13T21:41:13;Lead Well;CANCELLED;PAYPAL;2022-09-13T10:58:21;85804
