id;placed_date;status;code
1;2022-09-14T00:04:33;COMPLETED;Electronics
2;2022-09-13T18:26:32;COMPLETED;payment PCI violet
3;2022-09-14T04:55:25;CANCELLED;background out-of-the-box withdrawal
4;2022-09-13T08:58:26;COMPLETED;Music real-time
5;2022-09-13T17:02:35;CANCELLED;Hat
6;2022-09-14T05:47:23;PENDING;solid navigating
7;2022-09-13T15:43:09;PENDING;Toys maroon
8;2022-09-14T04:32:43;COMPLETED;Developer
9;2022-09-13T12:01:07;COMPLETED;Credit Soft Cotton
10;2022-09-14T02:43:43;CANCELLED;contingency Bedfordshire
